episode,reward_type,total_reward,dirt_collected,epsilon
0,dense_progress,60.0,51,0.9952
1,dense_progress,72.0,52,0.9905
2,dense_progress,170.0,62,0.9857
3,dense_progress,288.0,69,0.9809
4,dense_progress,232.0,68,0.9761
5,dense_progress,436.0,80,0.9714
6,dense_progress,366.0,71,0.9666
7,dense_progress,206.0,53,0.9618
8,dense_progress,136.0,53,0.957
9,dense_progress,290.0,74,0.9523
10,dense_progress,484.0,81,0.9475
11,dense_progress,246.0,64,0.9427
12,dense_progress,398.0,78,0.9379
13,dense_progress,28.0,46,0.9332
14,dense_progress,294.0,63,0.9284
15,dense_progress,306.0,67,0.9236
16,dense_progress,198.0,56,0.9188
17,dense_progress,344.0,52,0.9141
18,dense_progress,392.0,84,0.9093
19,dense_progress,268.0,51,0.9045
20,dense_progress,468.0,83,0.8997
21,dense_progress,250.0,70,0.895
22,dense_progress,102.0,54,0.8902
23,dense_progress,438.0,72,0.8854
24,dense_progress,248.0,65,0.8807
25,dense_progress,382.0,76,0.8759
26,dense_progress,182.0,63,0.8711
27,dense_progress,164.0,52,0.8663
28,dense_progress,220.0,67,0.8616
29,dense_progress,242.0,58,0.8568
30,dense_progress,528.0,71,0.852
31,dense_progress,168.0,54,0.8472
32,dense_progress,530.0,69,0.8425
33,dense_progress,350.0,69,0.8377
34,dense_progress,102.0,54,0.8329
35,dense_progress,78.0,52,0.8281
36,dense_progress,170.0,62,0.8234
37,dense_progress,340.0,79,0.8186
38,dense_progress,214.0,47,0.8138
39,dense_progress,204.0,65,0.809
40,dense_progress,270.0,61,0.8043
41,dense_progress,328.0,73,0.7995
42,dense_progress,366.0,78,0.7947
43,dense_progress,212.0,56,0.7899
44,dense_progress,134.0,54,0.7852
45,dense_progress,326.0,67,0.7804
46,dense_progress,600.0,90,0.7756
47,dense_progress,502.0,73,0.7709
48,dense_progress,350.0,78,0.7661
49,dense_progress,302.0,72,0.7613
50,dense_progress,174.0,50,0.7565
51,dense_progress,80.0,53,0.7518
52,dense_progress,142.0,55,0.747
53,dense_progress,398.0,78,0.7422
54,dense_progress,46.0,45,0.7374
55,dense_progress,488.0,78,0.7327
56,dense_progress,598.0,93,0.7279
57,dense_progress,308.0,73,0.7231
58,dense_progress,230.0,63,0.7183
59,dense_progress,224.0,62,0.7136
60,dense_progress,520.0,74,0.7088
61,dense_progress,562.0,67,0.704
62,dense_progress,406.0,76,0.6992
63,dense_progress,262.0,64,0.6945
64,dense_progress,192.0,63,0.6897
65,dense_progress,476.0,74,0.6849
66,dense_progress,104.0,44,0.6802
67,dense_progress,446.0,88,0.6754
68,dense_progress,414.0,66,0.6706
69,dense_progress,400.0,69,0.6658
70,dense_progress,460.0,91,0.6611
71,dense_progress,518.0,91,0.6563
72,dense_progress,350.0,73,0.6515
73,dense_progress,572.0,67,0.6467
74,dense_progress,542.0,93,0.642
75,dense_progress,466.0,83,0.6372
76,dense_progress,544.0,84,0.6324
77,dense_progress,302.0,72,0.6276
78,dense_progress,262.0,63,0.6229
79,dense_progress,378.0,74,0.6181
80,dense_progress,418.0,72,0.6133
81,dense_progress,252.0,70,0.6085
82,dense_progress,114.0,45,0.6038
83,dense_progress,270.0,60,0.599
84,dense_progress,292.0,67,0.5942
85,dense_progress,120.0,57,0.5894
86,dense_progress,692.0,91,0.5847
87,dense_progress,296.0,68,0.5799
88,dense_progress,126.0,55,0.5751
89,dense_progress,334.0,72,0.5704
90,dense_progress,442.0,79,0.5656
91,dense_progress,332.0,73,0.5608
92,dense_progress,122.0,57,0.556
93,dense_progress,534.0,92,0.5513
94,dense_progress,252.0,64,0.5465
95,dense_progress,172.0,62,0.5417
96,dense_progress,176.0,54,0.5369
97,dense_progress,464.0,88,0.5322
98,dense_progress,510.0,87,0.5274
99,dense_progress,266.0,54,0.5226
100,dense_progress,436.0,66,0.5178
101,dense_progress,56.0,50,0.5131
102,dense_progress,260.0,67,0.5083
103,dense_progress,288.0,71,0.5035
104,dense_progress,526.0,72,0.4987
105,dense_progress,666.0,92,0.494
106,dense_progress,220.0,67,0.4892
107,dense_progress,376.0,79,0.4844
108,dense_progress,320.0,59,0.4796
109,dense_progress,246.0,64,0.4749
110,dense_progress,530.0,73,0.4701
111,dense_progress,496.0,90,0.4653
112,dense_progress,774.0,99,0.4606
113,dense_progress,436.0,80,0.4558
114,dense_progress,180.0,57,0.451
115,dense_progress,606.0,84,0.4462
116,dense_progress,152.0,59,0.4415
117,dense_progress,190.0,64,0.4367
118,dense_progress,634.0,46,0.4319
119,dense_progress,362.0,81,0.4271
120,dense_progress,304.0,55,0.4224
121,dense_progress,106.0,51,0.4176
122,dense_progress,342.0,79,0.4128
123,dense_progress,354.0,70,0.408
124,dense_progress,638.0,100,0.4033
125,dense_progress,456.0,86,0.3985
126,dense_progress,322.0,70,0.3937
127,dense_progress,476.0,80,0.3889
128,dense_progress,416.0,81,0.3842
129,dense_progress,272.0,72,0.3794
130,dense_progress,54.0,48,0.3746
131,dense_progress,58.0,42,0.3698
132,dense_progress,80.0,53,0.3651
133,dense_progress,212.0,60,0.3603
134,dense_progress,584.0,73,0.3555
135,dense_progress,404.0,81,0.3508
136,dense_progress,306.0,75,0.346
137,dense_progress,610.0,79,0.3412
138,dense_progress,358.0,72,0.3364
139,dense_progress,306.0,74,0.3317
140,dense_progress,498.0,64,0.3269
141,dense_progress,184.0,63,0.3221
142,dense_progress,560.0,85,0.3173
143,dense_progress,918.0,96,0.3126
144,dense_progress,192.0,64,0.3078
145,dense_progress,-24.0,30,0.303
146,dense_progress,754.0,78,0.2982
147,dense_progress,488.0,62,0.2935
148,dense_progress,400.0,81,0.2887
149,dense_progress,474.0,89,0.2839
150,dense_progress,240.0,69,0.2791
151,dense_progress,294.0,70,0.2744
152,dense_progress,302.0,70,0.2696
153,dense_progress,364.0,72,0.2648
154,dense_progress,644.0,93,0.2601
155,dense_progress,218.0,61,0.2553
156,dense_progress,530.0,88,0.2505
157,dense_progress,382.0,35,0.2457
158,dense_progress,232.0,68,0.241
159,dense_progress,424.0,87,0.2362
160,dense_progress,264.0,67,0.2314
161,dense_progress,600.0,85,0.2266
162,dense_progress,312.0,75,0.2219
163,dense_progress,190.0,64,0.2171
164,dense_progress,114.0,43,0.2123
165,dense_progress,364.0,66,0.2075
166,dense_progress,260.0,58,0.2028
167,dense_progress,708.0,103,0.198
168,dense_progress,336.0,75,0.1932
169,dense_progress,460.0,73,0.1884
170,dense_progress,270.0,64,0.1837
171,dense_progress,480.0,85,0.1789
172,dense_progress,190.0,64,0.1741
173,dense_progress,92.0,56,0.1693
174,dense_progress,398.0,76,0.1646
175,dense_progress,398.0,79,0.1598
176,dense_progress,500.0,87,0.155
177,dense_progress,40.0,49,0.1503
178,dense_progress,250.0,68,0.1455
179,dense_progress,606.0,90,0.1407
180,dense_progress,316.0,63,0.1359
181,dense_progress,498.0,70,0.1312
182,dense_progress,92.0,54,0.1264
183,dense_progress,190.0,61,0.1216
184,dense_progress,482.0,78,0.1168
185,dense_progress,390.0,84,0.1121
