episode,reward_type,total_reward,dirt_collected,epsilon
0,baseline,160.0,61,0.9952
1,baseline,20.0,47,0.9905
2,baseline,70.0,52,0.9857
3,baseline,30.0,48,0.9809
4,baseline,220.0,67,0.9761
5,baseline,200.0,65,0.9714
6,baseline,430.0,88,0.9666
7,baseline,510.0,96,0.9618
8,baseline,70.0,52,0.957
9,baseline,140.0,59,0.9523
10,baseline,230.0,68,0.9475
11,baseline,220.0,67,0.9427
12,baseline,320.0,77,0.9379
13,baseline,230.0,68,0.9332
14,baseline,120.0,57,0.9284
15,baseline,220.0,67,0.9236
16,baseline,330.0,78,0.9188
17,baseline,390.0,84,0.9141
18,baseline,300.0,75,0.9093
19,baseline,160.0,61,0.9045
20,baseline,320.0,77,0.8997
21,baseline,210.0,66,0.895
22,baseline,220.0,67,0.8902
23,baseline,190.0,64,0.8854
24,baseline,220.0,67,0.8807
25,baseline,210.0,66,0.8759
26,baseline,410.0,86,0.8711
27,baseline,90.0,54,0.8663
28,baseline,320.0,77,0.8616
29,baseline,430.0,88,0.8568
30,baseline,320.0,77,0.852
31,baseline,260.0,71,0.8472
32,baseline,50.0,50,0.8425
33,baseline,180.0,63,0.8377
34,baseline,160.0,61,0.8329
35,baseline,150.0,60,0.8281
36,baseline,300.0,75,0.8234
37,baseline,360.0,81,0.8186
38,baseline,100.0,55,0.8138
39,baseline,400.0,85,0.809
40,baseline,310.0,76,0.8043
41,baseline,160.0,61,0.7995
42,baseline,310.0,76,0.7947
43,baseline,210.0,66,0.7899
44,baseline,330.0,78,0.7852
45,baseline,100.0,55,0.7804
46,baseline,-10.0,44,0.7756
47,baseline,190.0,64,0.7709
48,baseline,250.0,70,0.7661
49,baseline,390.0,84,0.7613
50,baseline,230.0,68,0.7565
51,baseline,180.0,65,0.7518
52,baseline,300.0,75,0.747
53,baseline,140.0,59,0.7422
54,baseline,260.0,71,0.7374
55,baseline,70.0,52,0.7327
56,baseline,210.0,66,0.7279
57,baseline,200.0,65,0.7231
58,baseline,130.0,58,0.7183
59,baseline,110.0,56,0.7136
60,baseline,90.0,54,0.7088
61,baseline,380.0,83,0.704
62,baseline,320.0,77,0.6992
63,baseline,140.0,61,0.6945
64,baseline,160.0,61,0.6897
65,baseline,160.0,63,0.6849
66,baseline,190.0,64,0.6802
67,baseline,70.0,52,0.6754
68,baseline,230.0,68,0.6706
69,baseline,210.0,66,0.6658
70,baseline,380.0,83,0.6611
71,baseline,270.0,72,0.6563
72,baseline,250.0,70,0.6515
73,baseline,440.0,89,0.6467
74,baseline,270.0,72,0.642
75,baseline,-50.0,40,0.6372
76,baseline,40.0,49,0.6324
77,baseline,80.0,53,0.6276
78,baseline,190.0,64,0.6229
79,baseline,-70.0,38,0.6181
80,baseline,30.0,48,0.6133
81,baseline,390.0,84,0.6085
82,baseline,380.0,83,0.6038
83,baseline,190.0,64,0.599
84,baseline,110.0,58,0.5942
85,baseline,420.0,87,0.5894
86,baseline,500.0,95,0.5847
87,baseline,230.0,68,0.5799
88,baseline,480.0,93,0.5751
89,baseline,240.0,69,0.5704
90,baseline,430.0,88,0.5656
91,baseline,290.0,74,0.5608
92,baseline,580.0,103,0.556
93,baseline,330.0,78,0.5513
94,baseline,230.0,70,0.5465
95,baseline,310.0,76,0.5417
96,baseline,70.0,54,0.5369
97,baseline,470.0,92,0.5322
98,baseline,320.0,77,0.5274
99,baseline,380.0,83,0.5226
100,baseline,260.0,71,0.5178
101,baseline,280.0,73,0.5131
102,baseline,220.0,67,0.5083
103,baseline,400.0,85,0.5035
104,baseline,40.0,53,0.4987
105,baseline,360.0,81,0.494
106,baseline,350.0,80,0.4892
107,baseline,420.0,87,0.4844
108,baseline,140.0,61,0.4796
109,baseline,-50.0,42,0.4749
110,baseline,310.0,76,0.4701
111,baseline,160.0,61,0.4653
112,baseline,420.0,87,0.4606
113,baseline,210.0,66,0.4558
114,baseline,300.0,75,0.451
115,baseline,340.0,79,0.4462
116,baseline,100.0,55,0.4415
117,baseline,150.0,60,0.4367
118,baseline,190.0,66,0.4319
119,baseline,150.0,60,0.4271
120,baseline,410.0,86,0.4224
121,baseline,100.0,55,0.4176
122,baseline,100.0,55,0.4128
123,baseline,550.0,100,0.408
124,baseline,360.0,81,0.4033
125,baseline,160.0,61,0.3985
126,baseline,400.0,85,0.3937
127,baseline,290.0,74,0.3889
128,baseline,210.0,66,0.3842
129,baseline,260.0,71,0.3794
130,baseline,330.0,78,0.3746
131,baseline,310.0,76,0.3698
132,baseline,220.0,67,0.3651
133,baseline,140.0,59,0.3603
134,baseline,160.0,65,0.3555
135,baseline,370.0,82,0.3508
136,baseline,100.0,55,0.346
137,baseline,340.0,79,0.3412
138,baseline,140.0,63,0.3364
139,baseline,460.0,91,0.3317
140,baseline,410.0,86,0.3269
