episode,reward_type,total_reward,dirt_collected,epsilon
0,sparse,530.0,53,0.9952
1,sparse,370.0,37,0.9905
2,sparse,620.0,62,0.9857
3,sparse,680.0,68,0.9809
4,sparse,750.0,75,0.9761
5,sparse,640.0,64,0.9714
6,sparse,630.0,63,0.9666
7,sparse,820.0,82,0.9618
8,sparse,530.0,53,0.957
9,sparse,710.0,71,0.9523
10,sparse,770.0,77,0.9475
11,sparse,570.0,57,0.9427
12,sparse,820.0,82,0.9379
13,sparse,630.0,63,0.9332
14,sparse,610.0,61,0.9284
15,sparse,780.0,78,0.9236
16,sparse,570.0,57,0.9188
17,sparse,810.0,81,0.9141
18,sparse,750.0,75,0.9093
19,sparse,560.0,56,0.9045
20,sparse,800.0,80,0.8997
21,sparse,730.0,73,0.895
22,sparse,800.0,80,0.8902
23,sparse,310.0,31,0.8854
24,sparse,510.0,51,0.8807
25,sparse,760.0,76,0.8759
26,sparse,660.0,66,0.8711
27,sparse,690.0,69,0.8663
28,sparse,760.0,76,0.8616
29,sparse,730.0,73,0.8568
30,sparse,640.0,64,0.852
31,sparse,790.0,79,0.8472
32,sparse,280.0,28,0.8425
33,sparse,560.0,56,0.8377
34,sparse,560.0,56,0.8329
35,sparse,650.0,65,0.8281
36,sparse,730.0,73,0.8234
37,sparse,600.0,60,0.8186
38,sparse,490.0,49,0.8138
39,sparse,730.0,73,0.809
40,sparse,640.0,64,0.8043
41,sparse,630.0,63,0.7995
42,sparse,830.0,83,0.7947
43,sparse,670.0,67,0.7899
44,sparse,650.0,65,0.7852
45,sparse,840.0,84,0.7804
46,sparse,400.0,40,0.7756
47,sparse,650.0,65,0.7709
48,sparse,490.0,49,0.7661
49,sparse,540.0,54,0.7613
50,sparse,680.0,68,0.7565
51,sparse,660.0,66,0.7518
52,sparse,790.0,79,0.747
53,sparse,780.0,78,0.7422
54,sparse,670.0,67,0.7374
55,sparse,630.0,63,0.7327
56,sparse,580.0,58,0.7279
57,sparse,570.0,57,0.7231
58,sparse,290.0,29,0.7183
59,sparse,690.0,69,0.7136
60,sparse,650.0,65,0.7088
61,sparse,590.0,59,0.704
62,sparse,740.0,74,0.6992
63,sparse,620.0,62,0.6945
64,sparse,870.0,87,0.6897
65,sparse,600.0,60,0.6849
66,sparse,500.0,50,0.6802
67,sparse,530.0,53,0.6754
68,sparse,460.0,46,0.6706
69,sparse,570.0,57,0.6658
70,sparse,470.0,47,0.6611
71,sparse,570.0,57,0.6563
72,sparse,650.0,65,0.6515
73,sparse,660.0,66,0.6467
74,sparse,710.0,71,0.642
75,sparse,380.0,38,0.6372
76,sparse,480.0,48,0.6324
77,sparse,630.0,63,0.6276
78,sparse,610.0,61,0.6229
79,sparse,860.0,86,0.6181
80,sparse,830.0,83,0.6133
81,sparse,860.0,86,0.6085
82,sparse,610.0,61,0.6038
83,sparse,620.0,62,0.599
84,sparse,520.0,52,0.5942
85,sparse,640.0,64,0.5894
86,sparse,850.0,85,0.5847
87,sparse,800.0,80,0.5799
88,sparse,690.0,69,0.5751
89,sparse,860.0,86,0.5704
90,sparse,680.0,68,0.5656
91,sparse,640.0,64,0.5608
92,sparse,710.0,71,0.556
93,sparse,870.0,87,0.5513
94,sparse,680.0,68,0.5465
95,sparse,630.0,63,0.5417
96,sparse,760.0,76,0.5369
97,sparse,630.0,63,0.5322
98,sparse,730.0,73,0.5274
99,sparse,600.0,60,0.5226
100,sparse,710.0,71,0.5178
101,sparse,670.0,67,0.5131
102,sparse,570.0,57,0.5083
103,sparse,1000.0,100,0.5035
104,sparse,860.0,86,0.4987
105,sparse,1000.0,100,0.494
106,sparse,680.0,68,0.4892
107,sparse,980.0,98,0.4844
108,sparse,520.0,52,0.4796
109,sparse,670.0,67,0.4749
110,sparse,700.0,70,0.4701
111,sparse,780.0,78,0.4653
112,sparse,740.0,74,0.4606
113,sparse,550.0,55,0.4558
114,sparse,570.0,57,0.451
115,sparse,590.0,59,0.4462
116,sparse,470.0,47,0.4415
117,sparse,650.0,65,0.4367
118,sparse,680.0,68,0.4319
119,sparse,740.0,74,0.4271
120,sparse,920.0,92,0.4224
121,sparse,840.0,84,0.4176
122,sparse,640.0,64,0.4128
123,sparse,980.0,98,0.408
124,sparse,490.0,49,0.4033
125,sparse,710.0,71,0.3985
126,sparse,780.0,78,0.3937
127,sparse,690.0,69,0.3889
128,sparse,880.0,88,0.3842
129,sparse,500.0,50,0.3794
130,sparse,550.0,55,0.3746
131,sparse,640.0,64,0.3698
132,sparse,810.0,81,0.3651
133,sparse,700.0,70,0.3603
134,sparse,700.0,70,0.3555
135,sparse,960.0,96,0.3508
136,sparse,550.0,55,0.346
137,sparse,900.0,90,0.3412
138,sparse,740.0,74,0.3364
139,sparse,660.0,66,0.3317
140,sparse,820.0,82,0.3269
141,sparse,650.0,65,0.3221
142,sparse,670.0,67,0.3173
143,sparse,740.0,74,0.3126
